model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
2590.901.295,012611456152,American Standard 2590.901.295,American Standard 2590.901.295 Satin Studio Deck-Mount 2.5 GPM Tub Filler with Handshower,American Standard,Ground,0,719,11
2770.732.002,012611176791,American Standard 2770.732.002,American Standard 2770.732.002 Chrome Hampton Bar Faucet with Swivel Spout and Metal Lever Handles,American Standard,Ground,0,200,10
2770.732.224,012611501715,American Standard 2770.732.224,American Standard 2770.732.224 Oil Rubbed Bronze Hampton Bar Faucet with Swivel Spout and Metal Lever Handles,American Standard,Ground,0,299,10
2770.732.295,012611256387,American Standard 2770.732.295,American Standard 2770.732.295 Satin Hampton Bar Faucet with Swivel Spout and Metal Lever Handles,American Standard,Ground,0,299,10
3275.501.002,012611328107,American Standard 3275.501.002,American Standard 3275.501.002 Chrome Colony Soft Shower Only Fitting with Metal Lever Handles,American Standard,Ground,1,147,11
3275.502.002,012611328091,American Standard 3275.502.002,American Standard 3275.502.002 Chrome Colony Soft Bath/Shower Fitting with Metal Lever Handles,American Standard,Ground,2,174,11
3275.505.002,012611328114,American Standard 3275.505.002,American Standard 3275.505.002 Chrome Colony Soft Bath Filler with Metal Lever Handles,American Standard,Ground,0,137,11
3375.502.002,012611328169,American Standard 3375.502.002,American Standard 3375.502.002 Chrome Colony Soft 3-Handle Bath/Shower Fitting with Metal Lever Handles,American Standard,Ground,5,206,11
3475.501.002,012611312359,American Standard 3475.501.002,American Standard 3475.501.002 Chrome Colony Soft Bidet Fitting with Metal Lever Handles and Metal Speed Connect Pop-Up Drain,American Standard,Ground,0,584,11
3475.501.295,012611412042,American Standard 3475.501.295,American Standard 3475.501.295 Satin Colony Soft Bidet Fitting with Metal Lever Handles and Metal Speed Connect Pop-Up Drain,American Standard,Ground,0,818,11
3875.501.002,012611290602,American Standard 3875.501.002,American Standard 3875.501.002 Chrome Colony Soft Widespread Lavatory Faucet with Metal Lever Handles and 50/50 Pop-Up Drain,American Standard,Ground,0,246,11
3875.501.295,012611355103,American Standard 3875.501.295,American Standard 3875.501.295 Satin Colony Soft Widespread Lavatory Faucet with Metal Lever Handles and 50/50 Pop-Up Drain,American Standard,Ground,0,344,11
3875.509.002,012611317262,American Standard 3875.509.002,American Standard 3875.509.002 Chrome Colony Soft Widespread Lavatory Faucet with Metal Lever Handles and Metal Speed Connect Pop-Up Drain,American Standard,Ground,1,264,11
3875.509.295,012611362828,American Standard 3875.509.295,American Standard 3875.509.295 Satin Colony Soft Widespread Lavatory Faucet with Metal Lever Handles and Metal Speed Connect Pop-Up Drain,American Standard,Ground,0,370,11
4101.000P.002,012611437878,American Standard 4101.000P.002,American Standard 4101.000P.002 Chrome Metal Escutcheon Plate for Arch Kitchen Faucet 4101.301,American Standard,Ground,0,32,6
4101.000P.075,012611437885,American Standard 4101.000P.075,American Standard 4101.000P.075 Stainless Steel Metal Escutcheon Plate for Arch Kitchen Faucet 4101.301,American Standard,Ground,0,38,6
4101.100.002,012611424250,American Standard 4101.100.002,American Standard 4101.100.002 Chrome Arch Pull-Out 2.2 GPM Kitchen Faucet,American Standard,Ground,0,278,10
4101.100.075,012611424069,American Standard 4101.100.075,American Standard 4101.100.075 Stainless Steel Arch Pull-Out 2.2 GPM Kitchen Faucet,American Standard,Ground,0,331,10
4101.115.002,012611438097,American Standard 4101.115.002,American Standard 4101.115.002 Chrome Arch Soap Dish with Mounting Kit,American Standard,Ground,0,32,8
4101.115.075,012611438608,American Standard 4101.115.075,American Standard 4101.115.075 Stainless Steel Arch Soap Dish with Mounting Kit,American Standard,Ground,0,38,8
4101.301.002,012611434587,American Standard 4101.301.002,American Standard 4101.301.002 Chrome Arch Kitchen Faucet with Handsprayer,American Standard,Ground,0,278,11
4101.301.075,012611435140,American Standard 4101.301.075,American Standard 4101.301.075 Stainless Steel Arch Kitchen Faucet with Handsprayer,American Standard,Ground,0,331,11
4101.350.002,012611434549,American Standard 4101.350.002,American Standard 4101.350.002 Chrome Arch High-Arc Pull-Out Kitchen Faucet,American Standard,Ground,0,336,10
4101.350.075,012611434556,American Standard 4101.350.075,American Standard 4101.350.075 Stainless Steel Arch High-Arc Pull-Out Kitchen Faucet,American Standard,Ground,0,404,10
4175.100.002,012611454738,American Standard 4175.100.002,American Standard 4175.100.002 Chrome Colony Soft Pull-Out 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,201,10
4175.100.075,012611454745,American Standard 4175.100.075,American Standard 4175.100.075 Stainless Steel Colony Soft Pull-Out 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,2,260,10
4175.100.242,012611490613,American Standard 4175.100.242,American Standard 4175.100.242 Matte Black Colony Soft Pull-Out 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,260,10
4175.100.F15.002,012611487620,American Standard 4175.100.F15.002,American Standard 4175.100.F15.002 Chrome Colony Soft Pull-Out 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,201,10
4175.100.F15.075,012611490484,American Standard 4175.100.F15.075,American Standard 4175.100.F15.075 Stainless Steel Colony Soft Pull-Out 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,260,10
4175.100.F15.242,012611490491,American Standard 4175.100.F15.242,American Standard 4175.100.F15.242 Matte Black Colony Soft Pull-Out 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,260,10
4175.200.002,012611194528,American Standard 4175.200.002,American Standard 4175.200.002 Chrome Colony 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,128,10
4175.200.F15.002,012611490279,American Standard 4175.200.F15.002,American Standard 4175.200.F15.002 Chrome Colony 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,128,10
4175.201.002,012611194559,American Standard 4175.201.002,American Standard 4175.201.002 Chrome Colony 2.2 GPM Kitchen Faucet with Matching Sprayer,American Standard,Ground,0,152,11
4175.201.F15.002,012611490293,American Standard 4175.201.F15.002,American Standard 4175.201.F15.002 Chrome Colony 1.5 GPM Kitchen Faucet with Matching Sprayer,American Standard,Ground,0,152,11
4175.203.002,012611194580,American Standard 4175.203.002,American Standard 4175.203.002 Chrome Colony 2.2 GPM Kitchen Faucet with Matching Sprayer thru Escutcheon,American Standard,Ground,0,152,11
4175.203.F15.002,012611490323,American Standard 4175.203.F15.002,American Standard 4175.203.F15.002 Chrome Colony 1.5 GPM Kitchen Faucet with Matching Sprayer thru Escutcheon,American Standard,Ground,0,152,11
4175.300.002,012611464171,American Standard 4175.300.002,American Standard 4175.300.002 Chrome Colony Soft Pull-Down 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,2,223,10
4175.300.075,012611464188,American Standard 4175.300.075,American Standard 4175.300.075 Stainless Steel Colony Soft Pull-Down 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,2,290,10
4175.300.242,012611490606,American Standard 4175.300.242,American Standard 4175.300.242 Matte Black Colony Soft Pull-Down 2.2 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,290,10
4175.300.F15.002,012611487637,American Standard 4175.300.F15.002,American Standard 4175.300.F15.002 Chrome Colony Soft Pull-Down 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,223,10
4175.300.F15.075,012611490507,American Standard 4175.300.F15.075,American Standard 4175.300.F15.075 Stainless Steel Colony Soft Pull-Down 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,290,10
4175.300.F15.242,012611490514,American Standard 4175.300.F15.242,American Standard 4175.300.F15.242 Matte Black Colony Soft Pull-Down 1.5 GPM Kitchen Faucet with Swivel Spout,American Standard,Ground,0,290,10
4175.500.002,012611270123,American Standard 4175.500.002,American Standard 4175.500.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,3,156,10
4175.500.075,012611489662,American Standard 4175.500.075,American Standard 4175.500.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,219,10
4175.500.F15.002,012611487644,American Standard 4175.500.F15.002,American Standard 4175.500.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,156,10
4175.500.F15.075,012611490347,American Standard 4175.500.F15.075,American Standard 4175.500.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,219,10
4175.501.002,012611270109,American Standard 4175.501.002,American Standard 4175.501.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,1,184,11
4175.501.075,012611489679,American Standard 4175.501.075,American Standard 4175.501.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,256,11
4175.501.F15.002,012611487651,American Standard 4175.501.F15.002,American Standard 4175.501.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,184,11
4175.501.F15.075,012611490354,American Standard 4175.501.F15.075,American Standard 4175.501.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,256,11
4175.503.002,012611270116,American Standard 4175.503.002,American Standard 4175.503.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,184,11
4175.503.075,012611489907,American Standard 4175.503.075,American Standard 4175.503.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,256,11
4175.503.F15.002,012611487675,American Standard 4175.503.F15.002,American Standard 4175.503.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,184,11
4175.503.F15.075,012611490361,American Standard 4175.503.F15.075,American Standard 4175.503.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,256,11
4175.700.002,012611520884,American Standard 4175.700.002,American Standard 4175.700.002 Chrome Colony Choice 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,125,10
4175.700.075,012611520891,American Standard 4175.700.075,American Standard 4175.700.075 Stainless Steel Colony Choice 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,176,10
4175.700.224,012611521010,American Standard 4175.700.224,American Standard 4175.700.224 Oil Rubbed Bronze Colony Choice 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,176,10
4175.700.F15.002,012611520907,American Standard 4175.700.F15.002,American Standard 4175.700.F15.002 Chrome Colony Choice 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,125,10
4175.700.F15.075,012611520914,American Standard 4175.700.F15.075,American Standard 4175.700.F15.075 Stainless Steel Colony Choice 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,176,10
4175.700.F15.224,012611521027,American Standard 4175.700.F15.224,American Standard 4175.700.F15.224 Oil Rubbed Bronze Colony Choice 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,176,10
4175.701.002,012611520921,American Standard 4175.701.002,American Standard 4175.701.002 Chrome Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,9,148,11
4175.701.075,012611520938,American Standard 4175.701.075,American Standard 4175.701.075 Stainless Steel Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,206,11
4175.701.224,012611521034,American Standard 4175.701.224,American Standard 4175.701.224 Oil Rubbed Bronze Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,206,11
4175.701.F15.002,012611520945,American Standard 4175.701.F15.002,American Standard 4175.701.F15.002 Chrome Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,148,11
4175.701.F15.075,012611520952,American Standard 4175.701.F15.075,American Standard 4175.701.F15.075 Stainless Steel Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,206,11
4175.701.F15.224,012611521041,American Standard 4175.701.F15.224,American Standard 4175.701.F15.224 Oil Rubbed Bronze Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,206,11
4175.703.002,012611520969,American Standard 4175.703.002,American Standard 4175.703.002 Chrome Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,148,11
4175.703.075,012611520983,American Standard 4175.703.075,American Standard 4175.703.075 Stainless Steel Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,206,11
4175.703.224,012611521058,American Standard 4175.703.224,American Standard 4175.703.224 Oil Rubbed Bronze Colony Choice 2.2 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,206,11
4175.703.F15.002,012611520990,American Standard 4175.703.F15.002,American Standard 4175.703.F15.002 Chrome Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,148,11
4175.703.F15.075,012611521003,American Standard 4175.703.F15.075,American Standard 4175.703.F15.075 Stainless Steel Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,206,11
4175.703.F15.224,012611521072,American Standard 4175.703.F15.224,American Standard 4175.703.F15.224 Oil Rubbed Bronze Colony Choice 1.5 GPM Kitchen Faucet with Color-Matched Sprayer thru Escutcheon,American Standard,Ground,0,206,11
4205.000.002,012611240409,American Standard 4205.000.002,American Standard 4205.000.002 Chrome Reliant+ 2.2 GPM Kitchen Faucet without Sprayer,American Standard,Ground,1,198,10
4205.000.F15.002,012611487682,American Standard 4205.000.F15.002,American Standard 4205.000.F15.002 Chrome Reliant+ 1.5 GPM Kitchen Faucet without Sprayer,American Standard,Ground,0,198,10
4205.001.002,012611240324,American Standard 4205.001.002,American Standard 4205.001.002 Chrome Reliant+ 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,235,10
4205.001.F15.002,012611487699,American Standard 4205.001.F15.002,American Standard 4205.001.F15.002 Chrome Reliant+ 1.5 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,235,10
4205.104.002,012611246845,American Standard 4205.104.002,American Standard 4205.104.002 Chrome Reliant+ 2.2 GPM Kitchen Pull-Out Faucet,American Standard,Ground,1,231,10
4205.104.075,012611351914,American Standard 4205.104.075,American Standard 4205.104.075 Stainless Steel Reliant+ 2.2 GPM Kitchen Pull-Out Faucet,American Standard,Ground,0,310,10
4205.104.242,012611490620,American Standard 4205.104.242,American Standard 4205.104.242 Matte Black Reliant+ 2.2 GPM Kitchen Pull-Out Faucet,American Standard,Ground,0,310,10
4205.104.F15.002,012611487705,American Standard 4205.104.F15.002,American Standard 4205.104.F15.002 Chrome Reliant+ 1.5 GPM Kitchen Pull-Out Faucet,American Standard,Ground,0,231,10
4205.104.F15.075,012611490538,American Standard 4205.104.F15.075,American Standard 4205.104.F15.075 Stainless Steel Reliant+ 1.5 GPM Kitchen Pull-Out Faucet,American Standard,Ground,0,310,10
4205.104.F15.242,012611490545,American Standard 4205.104.F15.242,American Standard 4205.104.F15.242 Matte Black Reliant+ 1.5 GPM Kitchen Pull-Out Faucet,American Standard,Ground,0,310,10
4275.500.002,012611269493,American Standard 4275.500.002,American Standard 4275.500.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Metal Lever Handles and Metal Deck Plate,American Standard,Ground,5,138,11
4275.500.075,012611489914,American Standard 4275.500.075,American Standard 4275.500.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Metal Lever Handles and Metal Deck Plate,American Standard,Ground,0,193,11
4275.500.F15.002,012611487712,American Standard 4275.500.F15.002,American Standard 4275.500.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Metal Lever Handles and Metal Deck Plate,American Standard,Ground,0,138,11
4275.500.F15.075,012611490439,American Standard 4275.500.F15.075,American Standard 4275.500.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Metal Lever Handles and Metal Deck Plate,American Standard,Ground,0,193,11
4275.501.002,012611269486,American Standard 4275.501.002,"American Standard 4275.501.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Metal Lever Handles, Metal Deck Plate, and Sprayer ",American Standard,Ground,0,162,11
4275.501.075,012611489921,American Standard 4275.501.075,"American Standard 4275.501.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Metal Lever Handles, Metal Deck Plate, and Sprayer ",American Standard,Ground,0,227,11
4275.501.F15.002,012611487729,American Standard 4275.501.F15.002,"American Standard 4275.501.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Metal Lever Handles, Metal Deck Plate, and Sprayer",American Standard,Ground,0,162,11
4275.501.F15.075,012611490453,American Standard 4275.501.F15.075,"American Standard 4275.501.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Metal Lever Handles, Metal Deck Plate, and Sprayer",American Standard,Ground,0,227,11
4275.550.002,012611329043,American Standard 4275.550.002,American Standard 4275.550.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Gooseneck Spout,American Standard,Ground,2,146,10
4275.550.075,012611490576,American Standard 4275.550.075,American Standard 4275.550.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Gooseneck Spout,American Standard,Ground,0,204,10
4275.550.F15.002,012611487736,American Standard 4275.550.F15.002,American Standard 4275.550.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Gooseneck Spout,American Standard,Ground,0,146,10
4275.550.F15.075,012611490460,American Standard 4275.550.F15.075,American Standard 4275.550.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Gooseneck Spout,American Standard,Ground,0,204,10
4275.551.002,012611329036,American Standard 4275.551.002,American Standard 4275.551.002 Chrome Colony Soft 2.2 GPM Kitchen Faucet with Gooseneck Spout and Sprayer ,American Standard,Ground,4,171,11
4275.551.075,012611490583,American Standard 4275.551.075,American Standard 4275.551.075 Stainless Steel Colony Soft 2.2 GPM Kitchen Faucet with Gooseneck Spout and Sprayer ,American Standard,Ground,0,239,11
4275.551.F15.002,012611487743,American Standard 4275.551.F15.002,American Standard 4275.551.F15.002 Chrome Colony Soft 1.5 GPM Kitchen Faucet with Gooseneck Spout and Sprayer,American Standard,Ground,0,171,11
4275.551.F15.075,012611490477,American Standard 4275.551.F15.075,American Standard 4275.551.F15.075 Stainless Steel Colony Soft 1.5 GPM Kitchen Faucet with Gooseneck Spout and Sprayer,American Standard,Ground,0,239,11
4285.001.002,012611525032,American Standard 4285.001.002,American Standard 4285.001.002 Chrome Portsmouth 2.2 GPM Kitchen Faucet with Side Spray,American Standard,Ground,0,283,11
4285.001.075,012611525056,American Standard 4285.001.075,American Standard 4285.001.075 Stainless Steel Portsmouth 2.2 GPM Kitchen Faucet with Side Spray,American Standard,Ground,0,340,11
4285.001.224,012611525063,American Standard 4285.001.224,American Standard 4285.001.224 Oil Rubbed Bronze Portsmouth 2.2 GPM Kitchen Faucet with Side Spray,American Standard,Ground,0,340,11
4285.100.002,012611525131,American Standard 4285.100.002,American Standard 4285.100.002 Chrome Portsmouth Pull-Out 1.8 GPM Kitchen Faucet,American Standard,Ground,0,309,10
4285.100.075,012611525148,American Standard 4285.100.075,American Standard 4285.100.075 Stainless Steel Portsmouth Pull-Out 1.8 GPM Kitchen Faucet,American Standard,Ground,0,371,10
4285.100.224,012611525155,American Standard 4285.100.224,American Standard 4285.100.224 Oil Rubbed Bronze Portsmouth Pull-Out 1.8 GPM Kitchen Faucet,American Standard,Ground,0,371,10
4285.300.002,012611525179,American Standard 4285.300.002,American Standard 4285.300.002 Chrome Portsmouth Pull-Down 1.8 GPM Kitchen Faucet,American Standard,Ground,0,361,10
4285.300.075,012611525186,American Standard 4285.300.075,American Standard 4285.300.075 Stainless Steel Portsmouth Pull-Down 1.8 GPM Kitchen Faucet,American Standard,Ground,0,433,10
4285.300.224,012611525209,American Standard 4285.300.224,American Standard 4285.300.224 Oil Rubbed Bronze Portsmouth Pull-Down 1.8 GPM Kitchen Faucet,American Standard,Ground,0,433,10
4285.410.002,012611525216,American Standard 4285.410.002,American Standard 4285.410.002 Chrome Portsmouth Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,283,10
4285.410.075,012611525223,American Standard 4285.410.075,American Standard 4285.410.075 Stainless Steel Portsmouth Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,340,10
4285.410.224,012611525247,American Standard 4285.410.224,American Standard 4285.410.224 Oil Rubbed Bronze Portsmouth Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,340,10
4285.420.002,012611525254,American Standard 4285.420.002,American Standard 4285.420.002 Chrome Portsmouth 2.2 GPM Bar Faucet with Metal Lever Handles,American Standard,Ground,0,221,11
4285.420.075,012611525261,American Standard 4285.420.075,American Standard 4285.420.075 Stainless Steel Portsmouth 2.2 GPM Bar Faucet with Metal Lever Handles,American Standard,Ground,0,266,11
4285.420.224,012611525278,American Standard 4285.420.224,American Standard 4285.420.224 Oil Rubbed Bronze Portsmouth 2.2 GPM Bar Faucet with Metal Lever Handles,American Standard,Ground,0,266,11
4285.501.002,012611525292,American Standard 4285.501.002,American Standard 4285.501.002 Chrome Portsmouth 2.2 GPM Kitchen Faucet with Side Spray and Metal Lever Handles,American Standard,Ground,0,258,11
4285.501.075,012611525308,American Standard 4285.501.075,American Standard 4285.501.075 Stainless Steel Portsmouth 2.2 GPM Kitchen Faucet with Side Spray and Metal Lever Handles,American Standard,Ground,0,309,11
4285.501.224,012611525315,American Standard 4285.501.224,American Standard 4285.501.224 Oil Rubbed Bronze Portsmouth 2.2 GPM Kitchen Faucet with Side Spray and Metal Lever Handles,American Standard,Ground,0,309,11
4311.023.002,012611183324,American Standard 4311.023.002,American Standard 4311.023.002 Chrome Perforated Grid Strainer Drain for 3-1/2-in Outlet Sink,American Standard,Ground,0,44,8
4331.013.002,012611073908,American Standard 4331.013.002,American Standard 4331.013.002 Chrome Brass Adjustable Sink Strainer Drain for 3-1/2-in Outlet,American Standard,Ground,0,99,8
4331.013.075,012611327292,American Standard 4331.013.075,American Standard 4331.013.075 Stainless Steel Brass Adjustable Sink Strainer Drain for 3-1/2-in Outlet,American Standard,Ground,2,166,8
4331.013.295,012611270949,American Standard 4331.013.295,American Standard 4331.013.295 Satin Brass Adjustable Sink Strainer Drain for 3-1/2-in Outlet,American Standard,Ground,0,166,8
4332.001.002,012611434006,American Standard 4332.001.002,American Standard 4332.001.002 Chrome Pekoe 2.2 GPM Kitchen Faucet,American Standard,Ground,1,459,10
4332.001.075,012611434013,American Standard 4332.001.075,American Standard 4332.001.075 Stainless Steel Pekoe 2.2 GPM Kitchen Faucet,American Standard,Ground,0,592,10
4332.300.002,012611433672,American Standard 4332.300.002,American Standard 4332.300.002 Chrome Pekoe Pull-Down 2.2 GPM Kitchen Faucet,American Standard,Ground,0,558,10
4332.300.075,012611433696,American Standard 4332.300.075,American Standard 4332.300.075 Stainless Steel Pekoe Pull-Down 2.2 GPM Kitchen Faucet,American Standard,Ground,1,672,10
4332.310.002,012611447037,American Standard 4332.310.002,American Standard 4332.310.002 Chrome Pekoe Pull-Down 2.2 GPM Kitchen Faucet with Adjustable Spray Pattern,American Standard,Ground,0,525,10
4332.310.075,012611447044,American Standard 4332.310.075,American Standard 4332.310.075 Stainless Steel Pekoe Pull-Down 2.2 GPM Kitchen Faucet with Adjustable Spray Pattern,American Standard,Ground,0,657,10
4332.350.002,012611434068,American Standard 4332.350.002,American Standard 4332.350.002 Chrome Pekoe Semi-Professional 2.2 GPM Kitchen Faucet with Metal Hose and Stainless Steel Protector Coil,American Standard,Ground,0,654,10
4332.350.075,012611434075,American Standard 4332.350.075,American Standard 4332.350.075 Stainless Steel Pekoe Semi-Professional 2.2 GPM Kitchen Faucet with Metal Hose and Stainless Steel Protector Coil,American Standard,Ground,0,785,10
4332.400.002,012611434037,American Standard 4332.400.002,American Standard 4332.400.002 Chrome Pekoe 2.2 GPM Bar Faucet,American Standard,Ground,0,362,10
4332.400.075,012611434044,American Standard 4332.400.075,American Standard 4332.400.075 Stainless Steel Pekoe 2.2 GPM Bar Faucet,American Standard,Ground,0,434,10
4332.410.002,012611449901,American Standard 4332.410.002,American Standard 4332.410.002 Chrome Pekoe Pull-Down 2.2 GPM Bar Faucet with Adjustable Spray Patterns,American Standard,Ground,0,415,10
4332.410.075,012611449918,American Standard 4332.410.075,American Standard 4332.410.075 Stainless Steel Pekoe Pull-Down 2.2 GPM Bar Faucet with Adjustable Spray Patterns,American Standard,Ground,0,485,10
4433.100.002,012611490903,American Standard 4433.100.002,American Standard 4433.100.002 Chrome Quince Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,258,10
4433.100.075,012611491221,American Standard 4433.100.075,American Standard 4433.100.075 Stainless Steel Quince Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,322,10
4433.100.224,012611501746,American Standard 4433.100.224,American Standard 4433.100.224 Oil Rubbed Bronze Quince Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,322,10
4433.150.002,012611500695,American Standard 4433.150.002,American Standard 4433.150.002 Chrome Quince High Arc Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,304,10
4433.150.075,012611500701,American Standard 4433.150.075,American Standard 4433.150.075 Stainless Steel Quince High Arc Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,365,10
4433.150.224,012611501401,American Standard 4433.150.224,American Standard 4433.150.224 Oil Rubbed Bronze Quince High Arc Pull-Out 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,365,10
4433.300.002,012611501418,American Standard 4433.300.002,American Standard 4433.300.002 Chrome Quince Pull-Down 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,335,10
4433.300.075,012611501432,American Standard 4433.300.075,American Standard 4433.300.075 Stainless Steel Quince Pull-Down 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,2,402,10
4433.300.224,012611501449,American Standard 4433.300.224,American Standard 4433.300.224 Oil Rubbed Bronze Quince Pull-Down 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,402,10
4433.350.002,012611501456,American Standard 4433.350.002,American Standard 4433.350.002 Chrome Quince Semi-Professional 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,489,10
4433.350.075,012611501463,American Standard 4433.350.075,American Standard 4433.350.075 Stainless Steel Quince Semi-Professional 2.2 GPM Kitchen Faucet with Adjustable Spray Patterns,American Standard,Ground,0,587,10
4433.410.002,012611501487,American Standard 4433.410.002,American Standard 4433.410.002 Chrome Quince Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,275,10
4433.410.075,012611501494,American Standard 4433.410.075,American Standard 4433.410.075 Stainless Steel Quince Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,330,10
4433.410.224,012611501500,American Standard 4433.410.224,American Standard 4433.410.224 Oil Rubbed Bronze Quince Pull-Down 2.2 GPM Bar Faucet,American Standard,Ground,0,330,10
4433.001.002,012611490910,American Standard 4433.001.002,American Standard 4433.001.002 Chrome Quince 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,232,11
4433.001.075,012611491207,American Standard 4433.001.075,American Standard 4433.001.075 Stainless Steel Quince 2.2 GPM Kitchen Faucet with Color-Matched Sprayer,American Standard,Ground,0,290,11
