model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
1660.113.224,012611469985,American Standard 1660.113.224,American Standard 1660.113.224 Oil Rubbed Bronze Traditional 3-Function Water-Saving Showerhead,American Standard,Ground,0,99,8
1660.113.295,012611445200,American Standard 1660.113.295,American Standard 1660.113.295 Satin Traditional 3-Function Water-Saving Showerhead,American Standard,Ground,0,99,10
1660.118.002,012611507922,American Standard 1660.118.002,American Standard 1660.118.002 Chrome 18-in Wall-Mount Right Angle Shower Arm with 1/2-in NPT Thread,American Standard,Ground,0,100,10
1660.118.295,012611508417,American Standard 1660.118.295,American Standard 1660.118.295 Satin 18-in Wall-Mount Right Angle Shower Arm with 1/2-in NPT Thread,American Standard,Ground,0,140,10
1660.125.002,012611151002,American Standard 1660.125.002,American Standard 1660.125.002 Chrome Trevi Deluxe Adjustable Body Side Spray,American Standard,Ground,0,68,8
1660.125.224,012611471346,American Standard 1660.125.224,American Standard 1660.125.224 Oil Rubbed Bronze Trevi Deluxe Adjustable Body Side Spray,American Standard,Ground,0,102,8
1660.125.295,012611235726,American Standard 1660.125.295,American Standard 1660.125.295 Satin Trevi Deluxe Adjustable Body Side Spray,American Standard,Ground,0,102,8
1660.130.002,012611458972,American Standard 1660.130.002,American Standard 1660.130.002 Chrome Extender Round Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,140,8
1660.130.224,012611471612,American Standard 1660.130.224,American Standard 1660.130.224 Oil Rubbed Bronze Extender Round Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,210,8
1660.130.295,012611459566,American Standard 1660.130.295,American Standard 1660.130.295 Satin Extender Round Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,210,8
1660.140.002,012611459573,American Standard 1660.140.002,American Standard 1660.140.002 Chrome Extender Square Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,140,8
1660.140.224,012611471629,American Standard 1660.140.224,American Standard 1660.140.224 Oil Rubbed Bronze Extender Square Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,210,8
1660.140.295,012611459603,American Standard 1660.140.295,American Standard 1660.140.295 Satin Extender Square Body Spray 3-Function with Rough-In Kit,American Standard,Ground,0,210,8
1660.141.002,012611445453,American Standard 1660.141.002,American Standard 1660.141.002 Chrome Traditional Water-Saving Hand Shower ,American Standard,Ground,0,61,8
1660.141.224,012611469961,American Standard 1660.141.224,American Standard 1660.141.224 Oil Rubbed Bronze Traditional Water-Saving Hand Shower ,American Standard,Ground,0,92,8
1660.141.295,012611445477,American Standard 1660.141.295,American Standard 1660.141.295 Satin Traditional Water-Saving Hand Shower ,American Standard,Ground,0,92,8
1660.143.002,012611445583,American Standard 1660.143.002,American Standard 1660.143.002 Chrome Traditional 3-Function Water-Saving Hand Shower,American Standard,Ground,0,81,8
1660.143.224,012611474866,American Standard 1660.143.224,American Standard 1660.143.224 Oil Rubbed Bronze Traditional 3-Function Water-Saving Hand Shower,American Standard,Ground,0,123,8
1660.143.295,012611445606,American Standard 1660.143.295,American Standard 1660.143.295 Satin Traditional 3-Function Water-Saving Hand Shower,American Standard,Ground,0,123,8
1660.144.002,012611508226,American Standard 1660.144.002,American Standard 1660.144.002 Chrome Modern 3-Function Hand Shower,American Standard,Ground,0,50,8
1660.186.002,012611509049,American Standard 1660.186.002,American Standard 1660.186.002 Chrome 6-in Ceiling Mount Shower Arm ,American Standard,Ground,0,35,8
1660.186.295,012611509056,American Standard 1660.186.295,American Standard 1660.186.295 Satin 6-in Ceiling Mount Shower Arm,American Standard,Ground,0,49,8
1660.190.002,012611414824,American Standard 1660.190.002,American Standard 1660.190.002 Chrome 12-in Ceiling Mount Shower Arm,American Standard,Ground,1,55,8
1660.190.224,012611502309,American Standard 1660.190.224,American Standard 1660.190.224 Oil Rubbed Bronze 12-in Ceiling Mount Shower Arm,American Standard,Ground,0,83,8
1660.190.295,012611414862,American Standard 1660.190.295,American Standard 1660.190.295 Satin 12-in Ceiling Mount Shower Arm,American Standard,Ground,0,83,8
1660.191.002,012611497513,American Standard 1660.191.002,American Standard 1660.191.002 Chrome Square Shower Arm Escutcheon,American Standard,Ground,0,23,8
1660.191.295,012611497520,American Standard 1660.191.295,American Standard 1660.191.295 Satin Square Shower Arm Escutcheon,American Standard,Ground,0,32,8
1660.194.002,012611414879,American Standard 1660.194.002,American Standard 1660.194.002 Chrome 12-in Wall-Mount Right Angle Shower Arm,American Standard,Ground,0,80,8
1660.194.224,012611502316,American Standard 1660.194.224,American Standard 1660.194.224 Oil Rubbed Bronze 12-in Wall-Mount Right Angle Shower Arm,American Standard,Ground,0,120,8
1660.194.295,012611414916,American Standard 1660.194.295,American Standard 1660.194.295 Satin 12-in Wall-Mount Right Angle Shower Arm,American Standard,Ground,0,120,8
1660.198.002,012611414923,American Standard 1660.198.002,American Standard 1660.198.002 Chrome 12-in Wall-Mount Shepherd's Hook Shower Arm,American Standard,Ground,0,80,8
1660.198.224,012611502323,American Standard 1660.198.224,American Standard 1660.198.224 Oil Rubbed Bronze 12-in Wall-Mount Shepherd's Hook Shower Arm,American Standard,Ground,0,120,8
1660.198.295,012611414961,American Standard 1660.198.295,American Standard 1660.198.295 Satin 12-in Wall-Mount Shepherd's Hook Shower Arm,American Standard,Ground,1,120,8
1660.225.002,012611250309,American Standard 1660.225.002,American Standard 1660.225.002 Chrome 24-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,109,10
1660.225.224,012611471506,American Standard 1660.225.224,American Standard 1660.225.224 Oil Rubbed Bronze 24-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,162,10
1660.225.295,012611235733,American Standard 1660.225.295,American Standard 1660.225.295 Satin 24-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,162,10
1660.230.002,012611508165,American Standard 1660.230.002,American Standard 1660.230.002 Chrome 30-in Square Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,220,10
1660.230.295,012611508196,American Standard 1660.230.295,American Standard 1660.230.295 Satin 30-in Square Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,308,10
1660.236.002,012611266102,American Standard 1660.236.002,American Standard 1660.236.002 Chrome 36-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,2,118,10
1660.236.224,012611471353,American Standard 1660.236.224,American Standard 1660.236.224 Oil Rubbed Bronze 36-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,178,10
1660.236.295,012611266133,American Standard 1660.236.295,American Standard 1660.236.295 Satin 36-in Standard Slide Bar with Adjustable Handshower Bracket,American Standard,Ground,0,178,10
1660.240.002,012611496240,American Standard 1660.240.002,American Standard 1660.240.002 Chrome Standard 5-1/2-in Shower Arm,American Standard,Ground,0,21,8
1660.240.224,012611496288,American Standard 1660.240.224,American Standard 1660.240.224 Oil Rubbed Bronze Standard 5-1/2-in Shower Arm,American Standard,Ground,0,29,8
1660.240.295,012611496257,American Standard 1660.240.295,American Standard 1660.240.295 Satin Standard 5-1/2-in Shower Arm,American Standard,Ground,0,29,8
1660.241.002,012611496264,American Standard 1660.241.002,American Standard 1660.241.002 Chrome Modern 5-1/2-in Shower Arm,American Standard,Ground,0,22,8
1660.241.295,012611496295,American Standard 1660.241.295,American Standard 1660.241.295 Satin Modern 5-1/2-in Shower Arm,American Standard,Ground,0,31,8
1660.242.002,012611496318,American Standard 1660.242.002,American Standard 1660.242.002 Chrome Square 5-7/8-in Shower Arm,American Standard,Ground,0,82,8
1660.242.224,012611496332,American Standard 1660.242.224,American Standard 1660.242.224 Oil Rubbed Bronze Square 5-7/8-in Shower Arm,American Standard,Ground,0,115,8
1660.242.295,012611496325,American Standard 1660.242.295,American Standard 1660.242.295 Satin Square 5-7/8-in Shower Arm,American Standard,Ground,0,115,8
1660.243.002,012611502613,American Standard 1660.243.002,American Standard 1660.243.002 Chrome Institutional 2.0 GPM Wall Mounted Vandal-Resistant Showerhead,American Standard,Ground,0,138,8
1660.244.002,012611502620,American Standard 1660.244.002,American Standard 1660.244.002 Chrome Institutional 1.5 GPM Wall Mounted Vandal-Resistant Showerhead,American Standard,Ground,0,138,8
1660.330.002,012611508233,American Standard 1660.330.002,American Standard 1660.330.002 Chrome 30-in Round Slilde Bar with Adjustable Bracket,American Standard,Ground,0,138,10
1660.400.002,012611165436,American Standard 1660.400.002,American Standard 1660.400.002 Chrome 1/2-in NPT In-Line Vacuum Breaker,American Standard,Ground,1,40,6
1660.400.224,012611471384,American Standard 1660.400.224,American Standard 1660.400.224 Oil Rubbed Bronze 1/2-in NPT In-Line Vacuum Breaker,American Standard,Ground,0,55,6
1660.400.295,012611235757,American Standard 1660.400.295,American Standard 1660.400.295 Satin 1/2-in NPT In-Line Vacuum Breaker,American Standard,Ground,4,55,6
1660.410.002,012611165474,American Standard 1660.410.002,American Standard 1660.410.002 Chrome 1/2-in NPT Shower Arm Diverter,American Standard,Ground,0,60,6
1660.410.295,012611235764,American Standard 1660.410.295,American Standard 1660.410.295 Satin 1/2-in NPT Shower Arm Diverter,American Standard,Ground,2,89,6
1660.500.002,012611248726,American Standard 1660.500.002,American Standard 1660.500.002 Chrome 3-Function Handshower with Check Valve,American Standard,Ground,1,72,8
1660.500.295,012611235818,American Standard 1660.500.295,American Standard 1660.500.295 Satin 3-Function Handshower with Check Valve,American Standard,Ground,0,108,8
1660.502.002,012611434730,American Standard 1660.502.002,American Standard 1660.502.002 Chrome 3-Function Water-Saving Handshower with Check Valve,American Standard,Ground,1,72,8
1660.505.002,012611248917,American Standard 1660.505.002,American Standard 1660.505.002 Chrome Fixed Single Function Handshower with Check Valve,American Standard,Ground,0,29,8
1660.506.002,012611497568,American Standard 1660.506.002,American Standard 1660.506.002 Chrome Minimalist Single Function Handshower with Check Valve,American Standard,Ground,0,103,8
1660.510.002,012611430336,American Standard 1660.510.002,American Standard 1660.510.002 Chrome3-Function Modern Handshower with Check Valve,American Standard,Ground,0,108,8
1660.530.002,012611508301,American Standard 1660.530.002,American Standard 1660.530.002 Chrome 29-in Elliptic Slide Bar with Adjustable Bracket,American Standard,Ground,0,113,10
1660.550.002,012611414978,American Standard 1660.550.002,American Standard 1660.550.002 Chrome 3-Function Rain Handshower with Check Valve,American Standard,Ground,0,105,8
1660.550.295,012611415012,American Standard 1660.550.295,American Standard 1660.550.295 Satin 3-Function Rain Handshower with Check Valve,American Standard,Ground,0,158,8
1660.610.002,012611414626,American Standard 1660.610.002,American Standard 1660.610.002 Chrome 10-in Rain Showerhead ,American Standard,Ground,1,182,8
1660.610.224,012611502293,American Standard 1660.610.224,American Standard 1660.610.224 Oil Rubbed Bronze 10-in Rain Showerhead ,American Standard,Ground,0,272,8
1660.610.295,012611414664,American Standard 1660.610.295,American Standard 1660.610.295 Satin 10-in Rain Showerhead ,American Standard,Ground,0,259,8
1660.611.002,012611445712,American Standard 1660.611.002,American Standard 1660.611.002 Chrome Modern Water-Saving Showerhead ,American Standard,Ground,0,54,8
1660.611.295,012611445736,American Standard 1660.611.295,American Standard 1660.611.295 Satin Modern Water-Saving Showerhead ,American Standard,Ground,0,80,8
1660.613.002,012611445248,American Standard 1660.613.002,American Standard 1660.613.002 Chrome Modern 3-Function Water-Saving Showerhead,American Standard,Ground,0,74,8
1660.613.295,012611445262,American Standard 1660.613.295,American Standard 1660.613.295 Satin Modern 3-Function Water-Saving Showerhead,American Standard,Ground,0,111,8
1660.620.002,012611417405,American Standard 1660.620.002,American Standard 1660.620.002 Chrome Tropic Single Function Showerhead,American Standard,Ground,0,66,8
1660.625.002,012611476525,American Standard 1660.625.002,American Standard 1660.625.002 Chrome Traditional 5-Function Showerhead,American Standard,Ground,0,77,8
1660.625.295,012611476549,American Standard 1660.625.295,American Standard 1660.625.295 Satin Traditional 5-Function Showerhead,American Standard,Ground,0,116,8
1660.627.002,012611476556,American Standard 1660.627.002,American Standard 1660.627.002 Chrome Traditional 5-Function Handshower,American Standard,Ground,0,88,8
1660.627.295,012611476570,American Standard 1660.627.295,American Standard 1660.627.295 Satin Traditional 5-Function Handshower,American Standard,Ground,0,123,8
